EmployeeID,Age,Attrition,BusinessTravel,Department,JobRole,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
1032,38,No,Travel_Rarely,Research & Development,Healthcare Representative,2,4,Technical Degree,4,Female,3,4,Single,7916,1,No,11,4,0,2,0,3,1,0,1
1033,32,No,Travel_Rarely,Research & Development,Healthcare Representative,17,2,Life Sciences,4,Female,2,4,Married,8728,2,Yes,11,4,1,7,2,2,7,0,0
1034,37,No,Travel_Rarely,Research & Development,Manager,1,4,Human Resources,4,Female,1,3,Married,3082,4,No,11,3,0,8,2,2,8,1,1
1035,43,No,Travel_Rarely,Sales,Sales Executive,27,3,Other,2,Male,1,3,Married,7401,3,Yes,16,3,0,17,4,3,14,1,0
1036,41,No,Travel_Rarely,Research & Development,Manufacturing Director,29,2,Life Sciences,3,Female,5,3,Married,14744,5,No,19,3,0,1,3,2,1,1,1
1037,49,No,Travel_Rarely,Sales,Sales Representative,5,3,Other,3,Female,2,3,Divorced,6253,3,No,15,3,1,14,4,3,6,0,4
1038,46,Yes,Non-Travel,Human Resources,Manager,1,3,Life Sciences,2,Female,1,3,Single,5216,4,No,11,3,2,4,0,3,0,0,0
1039,36,No,Travel_Rarely,Research & Development,Manufacturing Director,2,4,Marketing,1,Male,1,1,Married,4797,3,No,13,4,1,2,4,3,2,2,2
1040,42,Yes,Travel_Rarely,Research & Development,Manager,2,5,Other,4,Female,3,4,Single,10285,3,Yes,22,3,0,2,2,4,0,0,0
1041,46,Yes,Travel_Frequently,Research & Development,Laboratory Technician,18,4,Other,1,Female,1,1,Divorced,4938,4,Yes,15,4,0,6,1,3,6,1,1
1042,48,Yes,Travel_Rarely,Research & Development,Research Scientist,4,3,Human Resources,1,Female,1,4,Married,6835,5,Yes,14,3,1,14,2,2,4,0,4
1043,21,No,Travel_Frequently,Research & Development,Manufacturing Director,4,4,Technical Degree,1,Female,2,2,Single,9389,6,No,11,4,2,1,1,2,0,0,0
1044,31,No,Travel_Rarely,Research & Development,Manufacturing Director,4,1,Life Sciences,4,Female,4,3,Divorced,12573,2,No,17,3,1,0,4,2,0,0,0
1045,25,No,Non-Travel,Sales,Manager,29,3,Human Resources,3,Male,5,3,Single,15578,5,Yes,11,3,1,5,3,3,4,1,0
1046,37,No,Travel_Rarely,Sales,Sales Representative,2,2,Life Sciences,1,Female,5,4,Married,16563,7,No,19,3,1,3,2,3,1,1,1
1047,27,No,Travel_Rarely,Research & Development,Manufacturing Director,6,5,Human Resources,2,Female,5,4,Single,12547,1,No,19,3,0,9,2,4,7,2,2
1048,43,No,Travel_Rarely,Research & Development,Manufacturing Director,11,3,Technical Degree,4,Male,1,4,Married,6140,2,No,15,3,2,4,3,3,4,1,1
1049,43,No,Travel_Rarely,Sales,Sales Executive,1,2,Human Resources,2,Male,1,4,Single,1009,3,No,11,3,1,4,1,3,2,1,1
1050,23,No,Travel_Frequently,Research & Development,Research Scientist,7,1,Marketing,1,Female,1,2,Single,6009,4,No,15,3,3,5,1,2,5,3,0
1051,27,No,Travel_Frequently,Research & Development,Healthcare Representative,25,1,Life Sciences,2,Female,1,1,Single,4865,3,No,11,3,0,3,5,3,0,0,0
1052,43,No,Travel_Rarely,Research & Development,Laboratory Technician,8,3,Life Sciences,4,Female,1,4,Single,3612,6,No,13,3,1,3,4,3,2,0,1
1053,34,No,Travel_Rarely,Sales,Sales Executive,9,4,Marketing,3,Female,4,3,Married,11237,1,No,17,4,0,4,4,4,4,0,4
1054,39,No,Travel_Rarely,Sales,Sales Executive,1,3,Life Sciences,3,Female,2,3,Divorced,5407,3,No,15,3,1,4,2,4,3,0,3
1055,41,Yes,Travel_Rarely,Research & Development,Manager,19,4,Medical,3,Male,4,2,Divorced,11550,2,Yes,13,4,0,10,2,3,4,3,1
1056,31,Yes,Travel_Rarely,Research & Development,Manager,7,1,Other,3,Female,5,3,Single,14246,3,Yes,12,3,1,5,2,3,5,2,1
1057,27,No,Travel_Frequently,Sales,Sales Executive,1,3,Human Resources,3,Male,1,2,Married,8443,0,No,15,3,0,9,2,3,8,2,0
1058,40,No,Travel_Rarely,Research & Development,Research Scientist,3,3,Medical,2,Male,5,3,Single,12144,4,No,17,3,0,8,1,2,8,0,2
1059,40,No,Travel_Rarely,Research & Development,Laboratory Technician,29,4,Medical,4,Female,4,2,Married,15787,4,No,12,3,0,13,4,2,12,1,2
1060,60,No,Travel_Rarely,Sales,Sales Representative,27,3,Marketing,1,Male,2,3,Single,6705,5,No,14,3,1,9,1,3,8,0,4
1061,25,No,Travel_Rarely,Research & Development,Research Scientist,2,3,Marketing,3,Female,1,3,Married,4231,4,Yes,12,3,1,0,2,3,0,0,0
1062,18,Yes,Travel_Rarely,Research & Development,Laboratory Technician,3,3,Medical,2,Male,1,3,Single,2201,1,No,12,3,2,0,2,1,0,0,0
1063,39,Yes,Travel_Frequently,Research & Development,Research Scientist,1,1,Other,2,Female,4,4,Divorced,9984,3,Yes,18,3,0,14,2,3,14,3,0
1064,42,Yes,Non-Travel,Research & Development,Laboratory Technician,29,3,Life Sciences,2,Female,2,4,Single,5463,4,No,14,3,0,7,4,3,3,3,1
1065,44,Yes,Travel_Rarely,Human Resources,Manager,1,3,Life Sciences,3,Female,2,1,Divorced,6850,1,Yes,14,3,1,7,2,2,3,2,1
1066,39,Yes,Travel_Rarely,Research & Development,Healthcare Representative,12,4,Life Sciences,4,Male,3,3,Single,6947,3,Yes,14,3,0,0,2,2,0,0,0
1067,29,No,Travel_Rarely,Research & Development,Research Scientist,3,4,Marketing,3,Male,2,4,Married,5782,3,No,13,3,1,11,3,3,10,2,4
1068,28,No,Travel_Rarely,Sales,Sales Representative,10,2,Human Resources,2,Female,1,3,Single,3706,5,Yes,23,3,2,10,1,3,2,1,0
1069,26,Yes,Travel_Rarely,Research & Development,Manufacturing Director,1,4,Life Sciences,4,Male,5,3,Married,13151,2,Yes,17,3,2,3,2,4,1,1,1
1070,52,No,Travel_Rarely,Research & Development,Manufacturing Director,5,4,Life Sciences,2,Male,2,4,Married,4899,4,No,14,3,0,14,3,3,14,0,0
1071,29,No,Travel_Rarely,Sales,Sales Representative,13,1,Other,1,Male,4,3,Married,9638,3,Yes,17,3,3,7,3,1,7,1,2
1072,25,No,Travel_Rarely,Research & Development,Research Scientist,1,4,Human Resources,3,Male,3,4,Divorced,9773,4,Yes,15,3,0,7,2,2,7,7,3
1073,37,No,Travel_Rarely,Research & Development,Healthcare Representative,3,1,Life Sciences,4,Male,1,3,Divorced,4660,1,No,15,3,1,9,3,3,7,1,0
1074,44,Yes,Travel_Frequently,Research & Development,Research Scientist,5,5,Marketing,1,Male,3,1,Married,7401,4,Yes,11,3,0,2,2,3,2,0,2
1075,46,No,Travel_Frequently,Research & Development,Manufacturing Director,1,1,Medical,4,Male,1,2,Single,3569,4,No,15,3,0,19,2,3,17,4,3
1076,39,No,Travel_Rarely,Research & Development,Manufacturing Director,3,5,Human Resources,4,Male,1,4,Married,3622,2,Yes,20,4,1,14,3,3,11,2,1
1077,28,No,Travel_Frequently,Research & Development,Healthcare Representative,1,4,Marketing,4,Male,2,2,Divorced,7806,3,Yes,14,3,0,6,4,2,5,5,5
1078,28,Yes,Non-Travel,Research & Development,Manufacturing Director,5,2,Life Sciences,1,Male,1,3,Single,5673,5,Yes,18,3,0,3,6,4,2,2,2
1079,42,Yes,Travel_Rarely,Sales,Manager,18,2,Technical Degree,4,Female,2,2,Married,9649,3,No,18,3,0,6,2,3,0,0,0
1080,41,No,Travel_Frequently,Research & Development,Healthcare Representative,1,1,Human Resources,1,Male,2,1,Single,7943,3,No,19,3,1,13,1,4,12,1,0
1081,24,No,Travel_Rarely,Sales,Sales Representative,2,3,Other,1,Female,1,1,Married,4550,4,No,21,3,0,6,2,2,4,0,0
1082,36,No,Travel_Frequently,Sales,Sales Executive,19,1,Technical Degree,3,Female,3,2,Married,10559,4,No,16,3,1,5,4,2,2,2,2
1083,37,No,Travel_Rarely,Research & Development,Manufacturing Director,1,4,Life Sciences,4,Female,4,3,Married,15884,3,Yes,12,4,2,3,4,3,0,0,0
1084,52,No,Travel_Rarely,Sales,Sales Representative,4,3,Medical,4,Male,4,3,Married,11159,2,No,13,3,2,4,2,2,4,0,1
1085,47,Yes,Travel_Rarely,Research & Development,Manager,1,4,Medical,2,Female,2,4,Single,7100,3,Yes,17,3,0,6,1,4,4,1,4
1086,33,No,Travel_Frequently,Human Resources,Human Resources,1,3,Technical Degree,4,Male,2,4,Married,5970,3,No,12,3,0,5,2,3,4,0,2
1087,43,No,Travel_Rarely,Research & Development,Manufacturing Director,14,4,Other,1,Female,3,4,Single,10639,3,No,16,4,1,2,1,4,1,0,1
1088,36,No,Travel_Rarely,Research & Development,Laboratory Technician,7,3,Marketing,4,Male,3,3,Single,8908,4,No,18,3,1,13,3,3,3,1,0
1089,54,No,Travel_Rarely,Research & Development,Laboratory Technician,1,1,Other,4,Female,1,2,Married,4265,4,No,15,4,2,9,0,2,6,2,0
1090,38,Yes,Travel_Rarely,Research & Development,Laboratory Technician,4,4,Technical Degree,1,Male,5,2,Single,10091,2,Yes,15,3,0,0,2,3,0,0,0
1091,23,No,Travel_Rarely,Sales,Manager,8,3,Technical Degree,1,Male,2,3,Married,6661,1,No,12,3,0,5,3,4,5,5,5
1092,51,No,Travel_Frequently,Research & Development,Manufacturing Director,1,4,Technical Degree,4,Male,4,4,Single,9559,2,Yes,23,3,1,8,5,3,1,1,1
1093,43,Yes,Travel_Frequently,Human Resources,Human Resources,1,3,Marketing,2,Male,1,4,Married,4899,4,Yes,13,3,0,13,5,2,9,2,1
1094,35,No,Travel_Rarely,Research & Development,Laboratory Technician,5,4,Life Sciences,3,Male,1,2,Divorced,5377,3,No,11,3,0,1,2,3,1,1,1
1095,34,No,Travel_Rarely,Sales,Sales Representative,6,2,Medical,3,Male,2,1,Single,5110,4,No,19,3,1,3,2,4,3,1,3
1096,29,No,Travel_Frequently,Research & Development,Manufacturing Director,19,3,Other,4,Female,1,3,Married,3850,3,No,13,4,1,7,3,3,5,1,4
1097,33,No,Travel_Rarely,Sales,Sales Representative,7,1,Marketing,3,Male,3,4,Single,8528,5,Yes,12,3,0,12,2,3,4,3,4
1098,48,No,Travel_Frequently,Research & Development,Laboratory Technician,5,3,Human Resources,3,Male,3,4,Single,4823,4,No,17,3,1,7,1,4,3,0,3
1099,41,No,Travel_Rarely,Research & Development,Manufacturing Director,17,2,Marketing,2,Male,3,2,Single,8880,6,No,25,4,1,18,4,3,17,1,3
1100,23,No,Non-Travel,Sales,Sales Representative,7,2,Life Sciences,2,Male,2,4,Single,4719,1,No,17,3,0,5,5,3,5,5,3
1101,51,No,Non-Travel,Research & Development,Manager,20,2,Technical Degree,3,Male,2,4,Divorced,7087,2,No,12,3,0,6,2,3,1,0,1
1102,47,No,Travel_Rarely,Research & Development,Manager,1,4,Technical Degree,1,Male,2,4,Married,5583,0,Yes,11,3,3,2,2,3,1,1,1
1103,31,No,Travel_Rarely,Research & Development,Manufacturing Director,4,3,Medical,3,Female,2,4,Single,6222,0,Yes,11,3,1,4,3,2,2,2,2
1104,39,No,Travel_Rarely,Research & Development,Manufacturing Director,15,3,Technical Degree,3,Male,3,4,Divorced,10298,2,No,16,3,2,3,4,4,2,2,1
1105,34,No,Travel_Frequently,Research & Development,Healthcare Representative,10,5,Other,2,Female,4,3,Married,11171,0,No,16,3,1,13,5,3,9,0,3
1106,34,No,Travel_Rarely,Research & Development,Laboratory Technician,14,1,Human Resources,3,Female,4,3,Married,11425,3,Yes,12,3,0,10,2,3,10,2,0
1107,49,No,Travel_Rarely,Research & Development,Research Scientist,4,2,Life Sciences,2,Male,2,1,Married,8963,3,No,16,4,1,9,1,2,5,0,2
1108,59,No,Travel_Frequently,Research & Development,Laboratory Technician,1,2,Life Sciences,1,Female,2,2,Single,4560,4,No,17,3,1,4,5,3,4,0,4
1109,23,No,Non-Travel,Sales,Sales Representative,4,3,Life Sciences,4,Male,3,3,Married,11674,3,No,21,3,2,3,3,2,0,0,0
1110,49,No,Travel_Rarely,Research & Development,Research Scientist,21,3,Human Resources,1,Male,4,2,Married,9548,3,Yes,11,3,1,21,3,1,8,0,1
1111,38,No,Travel_Rarely,Research & Development,Research Scientist,4,2,Life Sciences,4,Male,3,3,Divorced,10479,4,No,13,3,0,3,3,3,3,0,0
1112,36,No,Travel_Frequently,Research & Development,Laboratory Technician,1,3,Other,4,Female,3,4,Married,8723,3,No,19,3,0,3,0,3,2,2,1
1113,42,Yes,Travel_Rarely,Research & Development,Research Scientist,3,2,Other,4,Female,2,4,Married,6383,2,No,15,3,0,0,0,3,0,0,0
1114,52,No,Travel_Rarely,Sales,Manager,1,4,Other,1,Male,1,3,Married,3784,7,No,12,3,0,6,2,2,6,4,2
1115,40,No,Travel_Rarely,Sales,Sales Executive,13,3,Life Sciences,4,Male,2,4,Divorced,6819,3,No,13,4,1,5,3,3,3,0,2
1116,30,No,Travel_Rarely,Research & Development,Research Scientist,1,5,Other,4,Female,1,4,Married,4203,0,No,18,3,0,10,5,2,10,1,1
1117,31,No,Travel_Rarely,Sales,Sales Representative,11,3,Other,1,Female,3,4,Married,8767,3,No,12,3,1,5,0,2,2,1,1
1118,50,No,Travel_Rarely,Research & Development,Laboratory Technician,8,3,Life Sciences,3,Male,1,4,Married,7956,2,No,14,3,2,12,2,3,11,3,9
1119,37,No,Travel_Rarely,Research & Development,Research Scientist,2,3,Life Sciences,2,Male,1,3,Married,4604,3,Yes,18,3,0,9,4,3,5,0,1
1120,40,No,Non-Travel,Sales,Manager,15,4,Marketing,3,Male,1,2,Married,6062,1,No,17,4,0,11,6,1,11,11,1
1121,42,No,Travel_Frequently,Sales,Manager,16,3,Technical Degree,3,Female,2,3,Married,9292,4,No,17,3,2,9,6,4,7,0,0
1122,44,No,Travel_Frequently,Research & Development,Laboratory Technician,1,1,Medical,1,Female,5,3,Married,13671,2,No,12,3,1,5,4,3,2,2,2
1123,40,No,Travel_Rarely,Research & Development,Manufacturing Director,16,4,Marketing,4,Female,2,1,Married,7142,3,No,18,3,1,22,1,2,10,1,0
1124,31,Yes,Travel_Frequently,Research & Development,Research Scientist,1,2,Human Resources,4,Male,4,1,Single,10100,2,No,14,3,0,3,2,3,3,3,0
1125,32,No,Travel_Rarely,Research & Development,Manager,10,3,Other,4,Male,1,2,Single,4066,1,Yes,15,4,1,2,1,2,1,0,1
1126,36,No,Travel_Rarely,Research & Development,Laboratory Technician,1,3,Technical Degree,4,Female,1,3,Married,7430,4,No,16,4,0,7,0,3,1,0,1
1127,33,No,Travel_Rarely,Research & Development,Manager,7,4,Life Sciences,1,Female,1,3,Divorced,9532,2,No,13,3,3,8,2,3,5,0,2
1128,43,No,Non-Travel,Research & Development,Healthcare Representative,2,3,Human Resources,2,Female,4,2,Married,12262,2,No,19,3,2,7,1,1,5,0,0
1129,36,No,Travel_Rarely,Research & Development,Manager,29,5,Human Resources,4,Female,1,3,Single,2514,5,No,12,3,1,3,2,2,2,1,2
1130,26,No,Travel_Rarely,Research & Development,Manufacturing Director,14,2,Life Sciences,1,Male,1,4,Single,5933,0,No,21,4,2,1,2,3,0,0,0
1131,43,No,Travel_Rarely,Sales,Manager,16,5,Medical,4,Female,1,4,Single,2067,5,No,14,4,1,5,0,2,5,0,0
1132,43,No,Travel_Rarely,Sales,Manager,5,4,Medical,3,Male,3,2,Single,9940,1,No,20,4,0,4,4,3,0,0,0
1133,52,No,Non-Travel,Sales,Sales Executive,17,4,Marketing,3,Male,3,1,Single,8315,4,No,17,4,0,15,1,2,14,2,1
1134,39,Yes,Travel_Rarely,Sales,Manager,1,3,Medical,1,Male,1,2,Single,5043,5,Yes,15,3,0,1,3,3,1,1,1
1135,24,No,Travel_Rarely,Research & Development,Manager,15,3,Other,2,Female,3,3,Married,10275,1,No,11,3,2,4,2,3,4,0,3
1136,31,No,Travel_Rarely,Sales,Manager,5,4,Technical Degree,3,Male,2,1,Married,6283,3,No,15,3,1,3,1,4,3,0,0
1137,57,No,Travel_Rarely,Research & Development,Manager,3,4,Medical,4,Female,1,1,Divorced,8219,1,No,19,3,0,2,3,2,1,0,1
1138,49,No,Travel_Frequently,Research & Development,Manager,5,4,Marketing,1,Female,1,3,Divorced,5157,2,No,13,3,0,8,2,4,7,1,0
1139,34,No,Travel_Rarely,Sales,Sales Representative,8,4,Human Resources,4,Male,2,4,Divorced,9215,1,No,19,3,0,3,2,2,0,0,0
1140,34,Yes,Travel_Frequently,Research & Development,Research Scientist,3,4,Life Sciences,4,Male,1,2,Divorced,3071,3,Yes,11,3,1,2,0,4,0,0,0
1141,37,No,Non-Travel,Human Resources,Manager,1,2,Technical Degree,1,Male,1,2,Single,3411,1,No,17,3,0,8,2,3,4,3,3
1142,40,Yes,Travel_Frequently,Research & Development,Healthcare Representative,14,3,Technical Degree,1,Male,2,1,Married,9956,2,No,11,3,0,3,0,2,0,0,0
1143,45,No,Travel_Rarely,Research & Development,Healthcare Representative,12,3,Technical Degree,2,Female,5,3,Married,14439,6,No,14,3,0,2,6,2,2,0,0
1144,33,Yes,Travel_Rarely,Sales,Manager,1,2,Human Resources,2,Male,3,4,Married,10155,6,No,13,3,1,8,1,2,0,0,0
1145,43,Yes,Travel_Rarely,Research & Development,Laboratory Technician,10,3,Technical Degree,2,Male,2,4,Married,4632,7,Yes,17,3,1,6,0,3,1,0,0
1146,18,Yes,Travel_Rarely,Research & Development,Laboratory Technician,11,3,Marketing,4,Female,3,3,Single,11228,0,No,19,4,0,0,2,4,0,0,0
1147,36,Yes,Travel_Frequently,Research & Development,Healthcare Representative,20,3,Other,2,Male,1,2,Divorced,6133,1,No,19,3,2,4,3,4,3,0,0
1148,22,No,Travel_Rarely,Sales,Manager,29,3,Technical Degree,1,Male,2,1,Single,6430,5,No,11,3,1,4,2,4,0,0,0
1149,55,No,Travel_Rarely,Research & Development,Healthcare Representative,1,4,Marketing,3,Male,2,1,Married,5073,1,No,20,3,0,12,0,3,9,0,0
1150,22,No,Travel_Rarely,Human Resources,Manager,4,3,Human Resources,2,Female,2,3,Married,8170,0,No,14,3,1,4,2,3,4,2,1
1151,38,No,Travel_Rarely,Research & Development,Manager,1,3,Other,1,Male,5,3,Divorced,11738,1,No,16,3,0,17,2,3,17,1,1
1152,38,Yes,Travel_Frequently,Research & Development,Manager,3,2,Marketing,1,Male,3,3,Single,7715,3,Yes,14,3,0,0,2,3,0,0,0
1153,57,Yes,Non-Travel,Research & Development,Research Scientist,2,4,Life Sciences,4,Male,1,1,Divorced,3972,5,No,11,3,2,10,0,4,8,3,0
1154,44,No,Travel_Rarely,Sales,Sales Representative,4,1,Life Sciences,1,Female,4,3,Married,8103,6,Yes,18,3,0,8,3,3,4,4,0
1155,31,Yes,Travel_Rarely,Research & Development,Manufacturing Director,1,5,Other,1,Male,2,2,Single,7322,2,Yes,17,3,0,8,2,3,2,0,2
1156,41,Yes,Non-Travel,Research & Development,Laboratory Technician,3,1,Life Sciences,1,Female,2,1,Married,5609,2,Yes,11,4,0,15,3,2,14,4,3
1157,37,No,Travel_Rarely,Research & Development,Healthcare Representative,4,3,Marketing,1,Female,3,1,Single,10013,1,Yes,14,3,0,8,2,3,6,0,4
1158,52,No,Travel_Rarely,Research & Development,Manufacturing Director,4,4,Technical Degree,4,Male,1,4,Married,3267,3,No,16,3,0,2,3,4,2,2,1
1159,35,No,Travel_Rarely,Research & Development,Manufacturing Director,8,3,Human Resources,3,Male,2,1,Married,10622,0,No,15,3,1,2,3,3,2,0,1
1160,24,No,Travel_Rarely,Research & Development,Manager,1,2,Other,4,Male,1,3,Single,3478,0,No,13,3,1,2,3,2,0,0,0
1161,47,No,Travel_Rarely,Research & Development,Laboratory Technician,2,3,Medical,2,Male,2,1,Divorced,7772,1,No,19,3,0,4,3,3,4,0,3
1162,33,No,Travel_Frequently,Research & Development,Research Scientist,3,4,Medical,3,Female,4,4,Single,9799,1,No,17,3,0,1,3,3,1,0,1
1163,41,No,Travel_Rarely,Research & Development,Laboratory Technician,1,3,Marketing,4,Male,1,2,Married,5057,3,No,11,3,0,4,0,2,4,3,4
1164,31,No,Travel_Frequently,Research & Development,Healthcare Representative,13,3,Human Resources,3,Female,3,3,Divorced,8619,6,Yes,16,3,0,9,1,1,7,0,0
1165,29,No,Travel_Rarely,Research & Development,Manufacturing Director,25,4,Marketing,4,Male,5,2,Single,13303,5,No,15,3,0,7,1,3,5,0,1
1166,53,Yes,Travel_Rarely,Research & Development,Manufacturing Director,16,2,Other,2,Male,3,3,Divorced,8702,4,No,11,4,0,17,0,4,6,0,1
1167,33,No,Travel_Frequently,Research & Development,Research Scientist,1,4,Medical,3,Female,2,1,Single,6242,6,No,18,4,0,4,3,3,3,0,3
1168,19,Yes,Travel_Rarely,Sales,Manager,12,2,Medical,1,Male,5,1,Single,11708,3,Yes,14,3,3,1,2,3,1,1,1
1169,47,Yes,Travel_Rarely,Research & Development,Manager,13,2,Marketing,3,Female,3,4,Married,9150,3,No,11,3,0,11,3,4,10,0,0
1170,38,No,Travel_Frequently,Sales,Sales Representative,21,1,Other,1,Male,1,2,Single,2798,2,No,11,3,0,2,1,4,2,2,1
1171,29,Yes,Travel_Rarely,Research & Development,Healthcare Representative,16,3,Life Sciences,4,Male,2,1,Married,1905,5,No,14,3,2,2,4,4,1,0,0
1172,30,No,Travel_Frequently,Sales,Manager,11,4,Medical,1,Male,2,4,Married,6957,4,No,19,3,1,4,2,3,1,1,1
1173,48,No,Travel_Rarely,Research & Development,Laboratory Technician,1,1,Technical Degree,3,Male,3,2,Single,9783,3,Yes,15,3,2,2,4,3,2,0,1
1174,31,Yes,Travel_Rarely,Sales,Sales Representative,21,4,Life Sciences,1,Male,5,3,Single,14692,2,Yes,12,3,2,3,4,2,1,0,1
1175,23,Yes,Travel_Rarely,Research & Development,Healthcare Representative,4,3,Human Resources,3,Female,2,4,Divorced,6546,5,No,13,4,2,5,3,3,5,5,1
1176,36,Yes,Travel_Rarely,Research & Development,Healthcare Representative,9,1,Technical Degree,3,Male,1,1,Married,3180,5,Yes,14,3,1,5,2,3,4,1,1
1177,41,No,Travel_Rarely,Sales,Sales Representative,13,4,Marketing,2,Male,1,3,Married,3402,3,No,11,4,2,9,1,3,4,2,4
